Row,BODYsync_Cl3,CROSSsync_Cl3,CROSSturn_Cl3,FACEsync_Cl3,HEADsync_Cl3,INTRAsync_Cl3,MovEx_Cl3,Speech_Cl3,STACK_Cl3
CV2: R1_F1,47.2222222222222,100,58.3333333333333,64.5833333333333,50,12.5,83.3333333333333,64.5833333333333,62.5
CV2: R1_F2,68.75,75,62.5,76.7857142857143,62.5,33.9285714285714,62.5,30.3571428571429,87.5
CV2: R1_F3,97.9166666666667,77.0833333333333,87.5,100,12.5,31.25,78.5714285714286,75,100
CV2: R1_F4,79.1666666666667,87.5,44.6428571428571,62.5,52.5,39.2857142857143,62.5,75,87.5
CV2: R1_F5,44.6428571428571,41.6666666666667,53.5714285714286,60.9375,62.5,27.0833333333333,56.25,85.4166666666667,50
CV2: R1_F6,45.8333333333333,62.5,75,62.5,75,41.6666666666667,100,75,87.5
CV2: R1_F7,41.6666666666667,64.5833333333333,32.5,75,50,39.2857142857143,68.75,60.4166666666667,62.5
CV2: R1_F8,50,39.2857142857143,64.2857142857143,75,40.625,56.25,100,47.9166666666667,100
CV2: R1_F9,79.1666666666667,69.0476190476191,63.8888888888889,57.1428571428571,50,53.7037037037037,45.8333333333333,41.6666666666667,58.3333333333333
CV2: R1_F10,66.6666666666667,91.6666666666667,83.3333333333333,100,75,67.8571428571429,55.5555555555555,91.6666666666667,75
CV2: R2_F1,89.5833333333333,91.6666666666667,75,68.75,75,66.0714285714286,50,75,87.5
CV2: R2_F2,18.75,66.0714285714286,95.8333333333333,72.7272727272727,62.5,35.7142857142857,87.5,91.6666666666667,62.5
CV2: R2_F3,64.5833333333333,72.9166666666667,55.5555555555556,87.5,75,26.7857142857143,86.25,54.1666666666667,100
CV2: R2_F4,77.0833333333333,45.8333333333333,46.875,67.8571428571429,58.3333333333333,33.3333333333333,81.25,56.25,75
CV2: R2_F5,62.5,75,62.5,100,62.5,31.25,53.5714285714286,58.9285714285714,75
CV2: R2_F6,47.9166666666667,87.5,44.6428571428571,79.1666666666667,32.8125,26.7857142857143,64.5833333333333,60.4166666666667,75
CV2: R2_F7,50,60.4166666666667,62.5,75,48.4375,32.1428571428571,60,25,62.5
CV2: R2_F8,37.5,100,58.3333333333333,50,58.3333333333333,62.5,75,87.5,100
CV2: R2_F9,16.6666666666667,18.75,46.4285714285714,58.3333333333333,35.4166666666667,29.1666666666667,65.2777777777778,97.2222222222222,41.6666666666667
