Row,BODYsync_G1_vs_REST,CROSSsync_G1_vs_REST,CROSSturn_G1_vs_REST,FACEsync_G1_vs_REST,HEADsync_G1_vs_REST,INTRAsync_G1_vs_REST,MovEx_G1_vs_REST,Speech_G1_vs_REST,STACK_G1_vs_REST
CV2: R1_F1_C1,22.9166666666667,57.1428571428571,85.4166666666667,47.9166666666667,62.5,58.3333333333333,47.9166666666667,70.8333333333333,75
CV2: R1_F2_C1,31.25,71.4285714285714,50,45.8333333333333,75,66.6666666666667,75,91.6666666666667,75
CV2: R1_F3_C1,39.0625,93.75,70.8333333333333,62.5,29.1666666666667,50,85.4166666666667,75,75
CV2: R1_F4_C1,75,76.7857142857143,62.5,87.5,75,58.3333333333333,62.5,31.25,62.5
CV2: R1_F5_C1,50,48.2142857142857,68.75,87.5,37.5,35.4166666666667,75,91.6666666666667,75
CV2: R1_F6_C1,50,37.5,75,46.875,72.7272727272727,43.75,69.4444444444444,64.5833333333333,62.5
CV2: R1_F7_C1,29.1666666666667,68.75,80.3571428571429,70.8333333333333,75,66.0714285714286,54.1666666666667,79.1666666666667,75
CV2: R1_F8_C1,21.4285714285714,33.3333333333333,91.6666666666667,66.6666666666666,58.3333333333333,37.5,91.6666666666667,56.25,83.3333333333333
CV2: R1_F9_C1,50,58.9285714285714,100,100,87.5,27.0833333333333,75,54.1666666666667,100
CV2: R1_F10_C1,22.9166666666667,71.4285714285714,75,72.9166666666667,41.0714285714286,44.6428571428571,60.2272727272727,70.3125,100
CV2: R2_F1_C1,50,68.75,62.5,66.6666666666667,70,37.5,42.0454545454545,58.9285714285714,87.5
CV2: R2_F2_C1,10.7142857142857,27.0833333333333,81.25,62.5,50,35.4166666666667,39.2857142857143,71.4285714285714,75
CV2: R2_F3_C1,58.75,79.6875,78.125,68.75,62.5,43.75,92.8571428571429,93.75,87.5
CV2: R2_F4_C1,22.9166666666667,37.5,47.2222222222222,66.0714285714286,62.5,68.75,100,62.5,87.5
CV2: R2_F5_C1,64.5833333333333,77.0833333333333,50,50,62.5,50,87.5,75,87.5
CV2: R2_F6_C1,35.4166666666667,62.5,73.2142857142857,62.5,41.6666666666667,28.75,62.5,89.2857142857143,75
CV2: R2_F7_C1,81.25,57.1428571428571,67.8571428571429,75,62.5,14.5833333333333,62.5,51.7857142857143,50
CV2: R2_F8_C1,38.8888888888889,55.952380952381,87.5,75,83.3333333333333,55.5555555555555,58.3333333333333,87.037037037037,100
CV2: R2_F9_C1,29.1666666666667,39.5833333333333,100,75,12.5,85.4166666666667,83.9285714285714,72.9166666666667,75
CV2: R2_F10_C1,37.5,56.25,100,70.8333333333333,50,62.5,62.5,54.1666666666667,62.5
CV2: R3_F1_C1,41.6666666666667,22.9166666666667,45.8333333333333,54.1666666666667,37.5,42.8571428571429,25,95.3125,50
CV2: R3_F2_C1,41.6666666666667,37.5,84.375,87.5,25,46.4285714285714,75,75,87.5
CV2: R3_F3_C1,58.9285714285714,81.25,75,83.9285714285714,87.5,35.7142857142857,62.5,85.7142857142857,87.5
CV2: R3_F4_C1,37.5,50,68.75,81.25,71.875,52.0833333333333,87.5,79.1666666666667,87.5
CV2: R3_F5_C1,36.1111111111111,76.7857142857143,76.7857142857143,58.3333333333333,45,47.9166666666667,81.9444444444444,56.25,100
CV2: R3_F6_C1,62.5,66.6666666666667,82.8125,68.75,50,50,75,48.2142857142857,62.5
CV2: R3_F7_C1,47.9166666666667,93.75,75,45.3125,50,39.5833333333333,87.5,62.5,87.5
CV2: R3_F8_C1,32.1428571428571,50,50,8.33333333333333,91.6666666666667,51.0416666666667,37.037037037037,57.1428571428571,41.6666666666667
CV2: R3_F9_C1,83.9285714285714,50,75,100,75,37.5,75,33.9285714285714,50
CV2: R3_F10_C1,43.75,75,100,58.3333333333333,62.5,32.1428571428571,75,72.9166666666667,100
CV2: R4_F1_C1,62.5,76.5625,87.5,87.5,75,52.0833333333333,87.5,62.5,87.5
CV2: R4_F2_C1,64.5833333333333,37.5,85.7142857142857,62.5,63.6363636363636,50,47.5,50,37.5
CV2: R4_F3_C1,25,64.5833333333333,84.375,87.5,25,22.9166666666667,52.0833333333333,80.3571428571429,87.5
CV2: R4_F4_C1,14.5833333333333,100,78.5714285714286,54.1666666666667,50,45.8333333333333,70.8333333333333,58.9285714285714,87.5
CV2: R4_F5_C1,18.75,56.25,62.5,22.9166666666667,60.9375,47.9166666666667,53.5714285714286,87.5,62.5
CV2: R4_F6_C1,25,57.1428571428571,92.8571428571429,50,65.625,52.0833333333333,70.4545454545455,58.3333333333333,100
CV2: R4_F7_C1,37.5,58.3333333333333,62.5,62.5,62.5,47.9166666666667,62.5,62.5,75
CV2: R4_F8_C1,41.6666666666667,16.6666666666667,79.1666666666667,87.5,41.6666666666667,54.7619047619048,83.3333333333333,71.4285714285714,83.3333333333333
CV2: R4_F9_C1,59.375,55.5555555555556,50,62.5,62.5,50,81.9444444444444,93.75,100
CV2: R4_F10_C1,56.25,70.8333333333333,31.25,93.75,25,66.0714285714286,100,60.4166666666667,87.5
CV2: R5_F1_C1,37.5,71.875,75,66.0714285714286,75,39.5833333333333,62.5,43.75,62.5
CV2: R5_F2_C1,16.0714285714286,68.75,98.2142857142857,62.5,50,42.8571428571429,83.9285714285714,68.75,87.5
CV2: R5_F3_C1,62.5,85.4166666666667,77.7777777777778,62.5,50,58.3333333333333,95.8333333333333,79.1666666666667,87.5
CV2: R5_F4_C1,33.3333333333333,64.2857142857143,60.4166666666667,87.5,25,29.1666666666667,50,75,87.5
CV2: R5_F5_C1,35.7142857142857,50,58.9285714285714,37.5,75,54.1666666666667,56.8181818181818,81.25,75
CV2: R5_F6_C1,52.0833333333333,64.5833333333333,55.3571428571429,47.9166666666667,87.5,56.25,75,90.625,75
CV2: R5_F7_C1,45.8333333333333,81.25,100,100,50,35.7142857142857,62.5,68.75,87.5
