Row,BODYsync_MultiClass,CROSSsync_MultiClass,CROSSturn_MultiClass,FACEsync_MultiClass,HEADsync_MultiClass,INTRAsync_MultiClass,MovEx_MultiClass,Speech_MultiClass,STACK_MultiClass
CV2: R1_F1,27.0833333333333,66.6666666666667,44.6428571428571,41.6666666666667,56.25,46.875,41.6666666666667,57.2916666666667,56.25
CV2: R1_F2,52.0833333333333,58.3333333333333,68.75,51.7857142857143,68.75,50,63.5416666666667,58.3333333333333,56.25
CV2: R1_F3,68.75,83.3333333333333,56.25,63.5416666666667,53.125,62.5,68.75,73.9583333333333,62.5
CV2: R1_F4,48.9583333333333,62.5,50,65.625,49.3055555555556,48.9583333333333,56.25,69.7916666666667,62.5
CV2: R1_F5,55.2083333333333,51.0416666666667,54.1666666666667,47.9166666666667,43.75,45.8333333333333,53.125,61.4583333333333,43.75
CV2: R1_F6,45.8333333333333,25,66.6666666666667,48.9583333333333,64.84375,53.125,59.375,68.75,50
CV2: R1_F7,27.0833333333333,68.75,51.0416666666667,53.125,46.09375,51.0416666666667,65.1785714285714,85.4166666666667,62.5
CV2: R1_F8,24.7222222222222,49.7453703703704,51.1805555555556,61.468253968254,53.0555555555556,49.4212962962963,76.25,56.2962962962963,70.9722222222222
CV2: R1_F9,40.2777777777778,76.5046296296296,56.7361111111111,44.0509259259259,57.662037037037,47.0238095238095,52.0138888888889,59.1203703703704,49.4444444444444
CV2: R1_F10,62.8703703703704,58.1018518518518,66.4880952380953,70.4166666666667,56.2103174603175,63.8888888888889,57.5198412698413,72.0601851851852,76.8055555555556
CV2: R2_F1,61.4583333333333,73.9583333333333,65.1785714285714,59.375,67.7083333333333,61.4583333333333,52.0833333333333,62.5,68.75
CV2: R2_F2,34.375,43.75,68.75,61.4583333333333,54.1666666666667,47.9166666666667,58.3333333333333,60.4166666666667,75
CV2: R2_F3,55.2083333333333,65.625,53.125,43.75,62.5,59.375,86.4583333333333,58.3333333333333,56.25
CV2: R2_F4,44.7916666666667,41.6666666666667,31.25,65.625,55.2083333333333,43.75,67.7083333333333,72.9166666666667,62.5
CV2: R2_F5,41.9642857142857,54.1666666666667,58.0357142857143,70.5357142857143,61.4583333333333,42.96875,64.5833333333333,62.5,68.75
CV2: R2_F6,45.8333333333333,57.2916666666667,50,64.2857142857143,43.75,50,64.5833333333333,41.6666666666667,62.5
CV2: R2_F7,46.875,58.3333333333333,58.3333333333333,60.4166666666667,50,58.3333333333333,43.75,61.4583333333333,43.75
CV2: R2_F8,44.4907407407407,57.8009259259259,65.8796296296296,65.9953703703704,60.2777777777778,65.4861111111111,66.875,78.5185185185185,80.9722222222222
CV2: R2_F9,46.8518518518518,43.3333333333333,44.2460317460317,60.0925925925926,46.5277777777778,40.0925925925926,56.9444444444444,78.8293650793651,53.75
CV2: R2_F10,65.6944444444444,63.8194444444444,66.5476190476191,57.8240740740741,45.2160493827161,46.0648148148148,56.0912698412698,57.5231481481482,70.2777777777778
CV2: R3_F1,37.5,46.4285714285714,65.625,50,62.5,39.5833333333333,59.375,82.2916666666667,43.75
CV2: R3_F2,48.9583333333333,63.5416666666667,60.4166666666667,55.2083333333333,43.75,50,76.0416666666667,56.25,75
CV2: R3_F3,56.25,62.5,51.0416666666667,51.7857142857143,63.3928571428571,46.875,58.3333333333333,63.5416666666667,68.75
CV2: R3_F4,45.8333333333333,57.2916666666667,60.4166666666667,60.4166666666667,72.9166666666667,44.7916666666667,67.7083333333333,75,68.75
CV2: R3_F5,57.2916666666667,61.4583333333333,56.25,56.25,50,57.2916666666667,63.5416666666667,75,81.25
CV2: R3_F6,44.7916666666667,47.9166666666667,54.1666666666667,52.0833333333333,50,32.2916666666667,57.2916666666667,52.0833333333333,56.25
CV2: R3_F7,57.2916666666667,61.4583333333333,57.2916666666667,58.3333333333333,57.2916666666667,52.0833333333333,78.125,68.75,68.75
CV2: R3_F8,27.1296296296296,47.1296296296296,65.0347222222222,64.7222222222222,45.787037037037,50.9722222222222,36.0648148148148,44.1435185185185,42.0833333333333
CV2: R3_F9,47.1527777777778,67.1064814814815,64.0277777777778,67.3611111111111,40.2546296296296,80.5324074074074,56.1111111111111,49.8611111111111,40.5555555555556
CV2: R3_F10,56.3492063492063,50.6712962962963,70.1388888888889,64.8015873015873,62.7777777777778,42.0833333333333,49.1203703703704,60.5092592592593,74.7222222222222
CV2: R4_F1,50,50,44.6428571428571,58.3333333333333,62.5,32.2916666666667,57.1428571428571,63.5416666666667,56.25
CV2: R4_F2,57.2916666666667,59.375,65.625,63.5416666666667,50,52.0833333333333,46.875,70.8333333333333,68.75
CV2: R4_F3,43.75,69.7916666666667,66.6666666666667,50,48.9583333333333,46.875,65.625,68.75,68.75
CV2: R4_F4,32.1428571428571,60.4166666666667,52.6785714285714,39.5833333333333,62.5,45.8333333333333,66.6666666666667,54.1666666666667,68.75
CV2: R4_F5,48.9583333333333,58.3333333333333,65.625,62.5,68.75,54.1666666666667,70.8333333333333,60.4166666666667,50
CV2: R4_F6,62.5,53.125,65.1785714285714,63.5416666666667,56.25,49.1071428571429,60.4166666666667,37.5,81.25
CV2: R4_F7,55.2083333333333,76.0416666666667,56.25,45.8333333333333,56.25,67.7083333333333,59.375,50,50
CV2: R4_F8,38.0555555555556,54.537037037037,42.1296296296296,68.4259259259259,49.4444444444444,41.3425925925926,77.8769841269841,61.5972222222222,65.4166666666667
CV2: R4_F9,56.6666666666667,47.8769841269841,53.75,52.4768518518519,48.2175925925926,56.2962962962963,68.6979166666667,78.587962962963,70
CV2: R4_F10,48.0787037037037,52.5,45.462962962963,77.5,43.7103174603175,66.4583333333333,44.212962962963,60.4398148148148,63.3333333333333
CV2: R5_F1,53.125,61.4583333333333,70.8333333333333,43.75,55.2083333333333,45.8333333333333,66.6666666666667,45.8333333333333,43.75
CV2: R5_F2,51.0416666666667,51.0416666666667,61.4583333333333,50,43.75,50,75.8928571428571,50,75
CV2: R5_F3,48.9583333333333,61.4583333333333,48.6111111111111,59.8214285714286,50,60.4166666666667,63.5416666666667,68.75,68.75
CV2: R5_F4,58.0357142857143,47.9166666666667,44.7916666666667,59.375,43.75,39.5833333333333,51.0416666666667,82.2916666666667,62.5
CV2: R5_F5,64.5833333333333,56.25,54.1666666666667,45.8333333333333,69.6428571428571,61.4583333333333,54.1666666666667,71.875,68.75
CV2: R5_F6,45.8333333333333,59.375,56.25,60.4166666666667,56.25,38.5416666666667,64.5833333333333,66.6666666666667,75
CV2: R5_F7,45.8333333333333,56.25,72.3214285714286,71.875,50,34.375,61.4583333333333,72.9166666666667,62.5
CV2: R5_F8,54.3981481481481,55.6944444444444,71.087962962963,67.6190476190476,49.5238095238095,59.837962962963,55.8333333333333,59.4212962962963,48.1944444444444
CV2: R5_F9,41.3657407407407,42.9365079365079,48.0092592592593,54.9074074074074,48.75,48.75,56.6203703703704,61.9212962962963,68.6111111111111
CV2: R5_F10,40.6944444444444,72.1296296296296,56.712962962963,58.7268518518518,37.7777777777778,48.6805555555556,64.563492063492,36.5277777777778,56.1111111111111
CV2: R6_F1,63.5416666666667,70.8333333333333,39.5833333333333,54.1666666666667,56.25,47.9166666666667,59.8214285714286,47.9166666666667,56.25
CV2: R6_F2,45.8333333333333,60.4166666666667,37.5,44.7916666666667,55.2083333333333,48.9583333333333,45.8333333333333,55.2083333333333,50
CV2: R6_F3,62.5,52.6785714285714,56.25,60.4166666666667,50,53.5714285714286,65.625,66.6666666666667,50
CV2: R6_F4,41.6666666666667,53.125,62.5,66.6666666666667,68.75,48.9583333333333,67.7083333333333,51.0416666666667,62.5
CV2: R6_F5,40.625,59.375,72.9166666666667,61.6071428571429,50,44.7916666666667,43.75,56.25,68.75
CV2: R6_F6,44.7916666666667,81.25,51.0416666666667,57.2916666666667,59.8214285714286,50,83.3333333333333,65.625,68.75
CV2: R6_F7,28.125,60.4166666666667,71.875,67.7083333333333,51.0416666666667,40.625,62.5,82.2916666666667,75
CV2: R6_F8,56.4583333333333,41.2268518518518,49.8214285714286,36.412037037037,56.9444444444444,43.9814814814815,55.7407407407407,63.5416666666667,48.3333333333333
CV2: R6_F9,60.0462962962963,68.9814814814815,41.9791666666667,68.912037037037,35.3571428571429,49.8842592592593,68.1944444444444,68.3333333333333,54.7222222222222
CV2: R6_F10,64.9074074074074,49.0972222222222,54.9537037037037,55.462962962963,58.6111111111111,71.4351851851852,62.9166666666667,77.5462962962963,56.5277777777778
CV2: R7_F1,56.25,63.5416666666667,62.5,53.125,62.5,44.7916666666667,56.25,55.2083333333333,62.5
CV2: R7_F2,50,60.4166666666667,48.9583333333333,50,43.75,41.6666666666667,56.25,70.8333333333333,56.25
CV2: R7_F3,53.125,68.75,43.75,45.8333333333333,46.25,51.0416666666667,63.5416666666667,69.7916666666667,81.25
CV2: R7_F4,47.9166666666667,47.9166666666667,43.75,70.8333333333333,50,36.4583333333333,69.7916666666667,63.5416666666667,62.5
CV2: R7_F5,43.75,61.4583333333333,61.875,71.875,80,50,61.4583333333333,65.625,68.75
CV2: R7_F6,40.625,48.9583333333333,66.6666666666667,70.8333333333333,70.8333333333333,50,51.0416666666667,71.875,81.25
CV2: R7_F7,42.7083333333333,55.2083333333333,65.1785714285714,56.25,53.125,43.75,62.5,64.5833333333333,62.5
CV2: R7_F8,55,47.5694444444444,39.0277777777778,49.1203703703704,55.5902777777778,45.4861111111111,66.6435185185185,50.6712962962963,64.0277777777778
CV2: R7_F9,35.515873015873,52.5198412698413,79.0277777777778,44.2824074074074,69.0277777777778,41.25,64.7222222222222,72.2685185185185,69.5833333333333
CV2: R7_F10,54.0046296296296,67.3412698412698,67.5462962962963,52.1230158730159,53.287037037037,54.537037037037,61.4351851851852,66.712962962963,63.3333333333333
CV2: R8_F1,56.25,43.75,55.2083333333333,70.8333333333333,62.5,56.25,52.0833333333333,61.6071428571429,50
CV2: R8_F2,59.375,63.5416666666667,65.625,47.9166666666667,56.25,29.1666666666667,57.2916666666667,51.0416666666667,62.5
