Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_bodysync	1	-0.38629	0.125755	-0.39715	0.0868975	-3.07177	-21.8716	-1	1	2.7016	2.46213	1.77894	-0.259873	-0.300646	1.53479	1.94157	0.879154	1.21068	1	-1.41299	0.752966	4.886
max_H_bodysync	2	-0.000662585	0.153972	0.0140158	0.109624	-0.00430329	0.858598	0.45	0.135274	0.365455	0.446863	0.414678	0.101826	0.0911096	0.397867	0.34482	0.183807	0.155046	1	0.0341755	0.164212	45.4652
sd_H_bodysync	3	0.166386	0.163859	0.178054	0.102475	1.01542	9.30288	0.7	0.630972	1.70463	1.35525	1.11221	0.142157	0.163799	0.619032	0.755885	0.242475	0.370127	1	0.742074	0.310711	44.9827
mean_H_bodysync	4	0.178684	0.147551	0.175872	0.105855	1.211	6.98109	0.72	0.781439	2.11113	1.75994	1.39196	-0.0242483	-0.00856867	0.108967	0.112156	0.0607535	0.0613139	1	0.722956	0.282168	42.6562
md_H_bodysync	5	-0.131319	0.0801735	-0.130602	0.0389076	-1.63794	-14.8687	-0.88	0.899689	2.4306	2.1228	1.57873	-0.11392	-0.123258	0.458774	0.514575	0.198929	0.240249	1	-0.573759	0.175263	47.8432
skew_H_bodysync	6	0.0631393	0.136586	0.0493201	0.0922571	0.462267	1.87832	0.47	0.179206	0.484141	0.502873	0.414678	0.0135257	-0.0171649	0.0913076	0.0962522	0.0562588	0.049936	1	0.379558	0.151758	44.0315
kurtosis_H_bodysync	7	-0.111441	0.0946679	-0.110554	0.0605937	-1.17717	-7.2206	-0.75	0.753615	2.03596	1.68033	1.3793	0.0164303	-0.0543782	0.0885455	0.18389	0.0565	0.0692755	1	-0.434747	0.16792	44.8277
min_M_bodysync	8	-0.0572641	0.158232	-0.0393092	0.10407	-0.361899	-0.930107	-0.45	0.154677	0.417875	0.471058	0.414678	-0.184305	-0.191534	0.897316	0.950007	0.406304	0.452973	1	0.0308165	0.203632	43.2467
max_M_bodysync	9	-0.0324492	0.152309	-0.0248049	0.0772457	-0.213049	-2.53412	-0.44	0.290134	0.783824	0.664398	0.51827	-0.0969933	-0.0209125	0.374904	0.0913368	0.155915	0.0565018	1	-0.127395	0.139819	44.8648
sd_M_bodysync	10	-0.0303098	0.138082	-0.0483358	0.0826584	-0.219506	-2.9273	-0.48	0.3121	0.843167	0.69991	0.51827	-0.0477064	-0.0382188	0.166852	0.138128	0.0739059	0.0597249	1	-0.0716837	0.149054	43.6145
mean_M_bodysync	11	-0.30782	0.176284	-0.320599	0.116265	-1.74616	-18.7978	-0.83	0.842577	2.2763	1.94257	1.49541	-0.318604	-0.314494	2.14348	2.10044	1.34681	1.33594	1	-1.25039	0.489307	46.7374
md_M_bodysync	12	-0.449455	0.136138	-0.459981	0.0852937	-3.30145	-27.5617	-0.98	0.995973	2.69072	2.44795	1.77894	-0.462904	-0.373915	4.26271	2.84722	3.11658	1.76209	1	-1.81457	0.884888	41.7723
skew_M_bodysync	13	-0.0845322	0.270599	-0.0782194	0.220906	-0.312389	-1.25743	-0.38	0.0159253	0.0430238	0.316196	0.316196	0.145719	0.155147	0.64655	0.706057	0.278574	0.341902	1	-0.276391	0.339107	44.8629
kurtosis_M_bodysync	14	0.346663	0.125931	0.343826	0.0953604	2.75281	15.4459	1	0.998536	2.69764	2.45697	1.77894	0.0700071	0.138175	0.248186	0.598128	0.123767	0.309229	1	1.53058	0.632421	41.7104
