Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_AU01_r	1	0.0199846	0.509499	0.00484266	0.461004	0.0392241	0.193556	0.03	0.0294118	0.305556	0.420249	0.337955	1.11618	0.297154	44.4645
max_H_AU01_r	2	-0.0994469	0.362079	-0.0944738	0.3318	-0.274655	-1.21628	-0.05	0.232752	2.41804	2.10779	1.27067	-1.89433	0.34708	29.872
sd_H_AU01_r	3	-0.0934592	0.361939	-0.0914552	0.331737	-0.258218	-1.11908	-0.03	0.212781	2.21057	1.86861	1.1996	-2.02604	0.336039	28.705
mean_H_AU01_r	4	-0.0512036	0.391975	-0.0376519	0.36185	-0.13063	-0.547333	-0.04	0.0991285	1.02984	0.819463	0.564747	-1.7294	0.300609	33.7801
md_H_AU01_r	5	0.0292715	0.337993	0.0402365	0.311481	0.0866038	0.373023	0.06	0.0922295	0.958163	0.772139	0.559667	-0.66664	0.276141	48.5008
skew_H_AU01_r	6	-0.11099	0.332998	-0.0962296	0.306767	-0.333305	-1.43579	-0.06	0.255628	2.6557	2.40261	1.41256	-1.93475	0.348692	33.874
kurtosis_H_AU01_r	7	-0.0961838	0.331076	-0.0825521	0.304412	-0.290519	-1.24715	-0.05	0.242193	2.51612	2.22675	1.32366	-1.77255	0.339504	34.1283
min_M_AU01_r	8	-0.141559	0.493769	-0.141006	0.45812	-0.286691	-1.26216	-0.09	0.210603	2.18793	1.84353	1.18969	-1.13136	0.316599	39.7025
max_M_AU01_r	9	-0.0232766	0.499703	-0.0102597	0.456411	-0.0465809	-0.164022	-0.05	0.0127088	0.13203	0.349226	0.312628	-0.822588	0.278502	41.0539
sd_M_AU01_r	10	-0.0138857	0.52627	-0.00442031	0.474962	-0.026385	-0.0776389	-0.09	0.00326797	0.0339507	0.312954	0.30629	-1.25981	0.289912	42.9226
mean_M_AU01_r	11	0.0147588	0.434456	0.038625	0.39516	0.0339707	0.229562	0.09	0.0668119	0.694103	0.61295	0.448339	-0.792356	0.28591	38.8329
md_M_AU01_r	12	0.0626081	0.34696	0.0834132	0.319978	0.180448	0.841421	0.06	0.185185	1.92387	1.56567	1.04881	0.103336	0.283303	44.9773
skew_M_AU01_r	13	-0.0627266	0.405201	-0.058086	0.37264	-0.154804	-0.651391	-0.06	0.100944	1.0487	0.832215	0.565947	-0.899529	0.291141	45.1358
kurtosis_M_AU01_r	14	-0.0312641	0.368201	-0.0339301	0.339204	-0.0849105	-0.415288	-0.05	0.0715323	0.743143	0.640738	0.464647	-0.373117	0.274763	48.0753
min_H_AU02_r	15	0.00347099	0.468056	0.0254702	0.430565	0.00741577	0.0907384	0.02	0.0526507	0.546983	0.534327	0.398923	0.103919	0.28744	48.8862
max_H_AU02_r	16	0.0197884	0.425087	0.0170152	0.380492	0.0465515	0.11236	0.08	0.0108932	0.113169	0.342038	0.312628	-0.057209	0.274403	46.38
