Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	20	8	26
TN	57	65	52
FP	29	13	24
FN	14	34	18
P	49	21	50
N	71	99	70
acc	64.1667	60.8333	65
sens	58.8235	19.0476	59.0909
spec	66.2791	83.3333	68.4211
FPR	33.7209	16.6667	31.5789
PPV	40.8163	38.0952	52
NPV	80.2817	65.6566	74.2857
GMean	1.11849	1.01183	1.12921
AUC	0.649966	0.589286	0.663427
AUC_lower	0.51088	0.402949	0.532426
AUC_upper	0.740146	0.620861	0.742694
BAC	62.5513	51.1905	63.756
Fscore	0.481928	0.253968	0.553191
MCC	0.230134	0.0298879	0.268918
pLR	1.74442	1.14286	1.87121
nLR	0.621259	0.971429	0.597902
PSI	21.098	3.7518	26.2857
NNP	4.73978	26.6538	3.80435
NND	3.98365	42	3.63478
ECE	0.95	1.16667	0.9
Youden	0.251026	0.0238095	0.27512
DOR	3.04301	1.30612	3.50143
Kappa	0.221485	0.0269151	0.267442
Kappa_Z	2.19548	0.235525	2.88271
Kappa_P	0.0281289	0.813801	0.00394276
