time,pitch,int
0.001,--undefined--,--undefined--
0.002,--undefined--,--undefined--
0.003,--undefined--,--undefined--
0.004,--undefined--,--undefined--
0.005,--undefined--,--undefined--
0.006,--undefined--,--undefined--
0.007,--undefined--,--undefined--
0.008,--undefined--,--undefined--
0.009,--undefined--,--undefined--
0.010,--undefined--,--undefined--
0.011,--undefined--,--undefined--
0.012,--undefined--,--undefined--
0.013,--undefined--,--undefined--
0.014,--undefined--,--undefined--
0.015,--undefined--,--undefined--
0.016,--undefined--,--undefined--
0.017,--undefined--,--undefined--
0.018,--undefined--,--undefined--
0.019,--undefined--,--undefined--
0.020,--undefined--,--undefined--
0.021,--undefined--,--undefined--
0.022,--undefined--,--undefined--
0.023,--undefined--,--undefined--
0.024,--undefined--,--undefined--
0.025,--undefined--,--undefined--
0.026,--undefined--,--undefined--
0.027,--undefined--,--undefined--
0.028,--undefined--,--undefined--
0.029,--undefined--,--undefined--
0.030,--undefined--,--undefined--
0.031,--undefined--,--undefined--
0.032,--undefined--,41.811
0.033,--undefined--,41.636
0.034,--undefined--,41.412
0.035,--undefined--,41.193
0.036,--undefined--,40.981
0.037,--undefined--,40.780
0.038,--undefined--,40.594
0.039,--undefined--,40.426
0.040,--undefined--,40.292
0.041,--undefined--,40.197
0.042,--undefined--,40.145
0.043,--undefined--,40.142
0.044,--undefined--,40.186
0.045,--undefined--,40.274
0.046,--undefined--,40.399
0.047,--undefined--,40.552
0.048,--undefined--,40.725
0.049,--undefined--,40.913
0.050,--undefined--,41.106
0.051,--undefined--,41.301
0.052,--undefined--,41.501
0.053,--undefined--,41.708
0.054,--undefined--,41.926
0.055,--undefined--,42.162
0.056,--undefined--,42.419
0.057,--undefined--,42.702
0.058,--undefined--,43.009
0.059,--undefined--,43.347
0.060,--undefined--,43.697
0.061,620.341,44.055
0.062,620.003,44.413
0.063,619.584,44.761
0.064,619.187,45.091
0.065,618.825,45.394
0.066,618.494,45.664
0.067,618.191,45.894
0.068,617.918,46.081
0.069,617.671,46.225
0.070,617.448,46.319
0.071,617.249,46.365
0.072,617.076,46.364
0.073,616.927,46.318
0.074,616.808,46.230
0.075,616.724,46.104
0.076,616.678,45.946
0.077,616.667,45.762
0.078,616.695,45.561
0.079,616.762,45.345
0.080,616.867,45.133
0.081,617.011,44.932
0.082,--undefined--,44.752
0.083,--undefined--,44.601
0.084,--undefined--,44.487
0.085,--undefined--,44.412
0.086,--undefined--,44.379
0.087,--undefined--,44.386
0.088,--undefined--,44.427
0.089,--undefined--,44.500
0.090,--undefined--,44.593
0.091,--undefined--,44.699
0.092,--undefined--,44.810
0.093,--undefined--,44.918
0.094,--undefined--,45.018
0.095,--undefined--,45.102
0.096,--undefined--,45.167
0.097,--undefined--,45.206
0.098,--undefined--,45.218
0.099,--undefined--,45.198
0.100,--undefined--,45.146
0.101,--undefined--,45.060
0.102,--undefined--,44.941
0.103,--undefined--,44.790
0.104,--undefined--,44.609
0.105,--undefined--,44.400
0.106,--undefined--,44.169
0.107,--undefined--,43.922
0.108,--undefined--,43.664
0.109,--undefined--,43.400
0.110,--undefined--,43.147
0.111,--undefined--,42.914
0.112,--undefined--,42.708
0.113,--undefined--,42.538
0.114,--undefined--,42.414
0.115,--undefined--,42.341
0.116,--undefined--,42.320
0.117,--undefined--,42.351
0.118,--undefined--,42.431
0.119,--undefined--,42.555
0.120,--undefined--,42.710
0.121,--undefined--,42.887
0.122,--undefined--,43.077
0.123,--undefined--,43.269
0.124,--undefined--,43.455
0.125,--undefined--,43.626
0.126,--undefined--,43.775
